,index,tweetUrl,renderedContent,userId,source,media,username,displayname,rawDescription,verified,followersCount,location,protected,profileUrl,eng,stance
12,4637,https://twitter.com/iamsudhish/status/1353990831967854594,@ANI Kudos to #DelhiPolice for showing tremendous restraint during this anarchy created by these #DomesticTerrorists. #FarmersProtest @CPDelhi.,478262698,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,iamsudhish,Sudhish,Family+Humour+Karma+Food+Charity+Life,FALSE,148,"Sydney, New South Wales",FALSE,https://twitter.com/iamsudhish,1,neutral
13,2222,https://twitter.com/RishiRaj159/status/1354098630504763392,"Don't understand why senior journalists like @sardesairajdeep who have earned name, fame in their long career still have to get into a rat race to tweet first only to delete &amp; repent later! Grace &amp; dignity are more paying than breaking tweets!! #FarmersProtest",3517896073,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,RishiRaj159,Rishi Raj,Executive Editor at Financial Express.  Tweets are personal and not the organisation's views  Retweets do not mean endorsement.,FALSE,573,New Delhi,FALSE,https://twitter.com/RishiRaj159,1,
14,3107,https://twitter.com/TheDailyPioneer/status/1354071564153573376,"#SamyuktKisanMorcha calls off #TractorParade with immediate effect, appeals participants to return to their respective protest sites.  #FarmersProtest #FarmersProstests #Farmers https://t.co/QXefus7XFV",470299753,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'previewUrl': 'https://pbs.twimg.com/media/Esqg5VaXUAE7Es3?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Esqg5VaXUAE7Es3?format=jpg&name=large', 'type': 'photo'}]",TheDailyPioneer,The Pioneer,Twitter account of India's leading independent right-thinking newspaper.,TRUE,25793,,FALSE,https://twitter.com/TheDailyPioneer,1,
15,333,https://twitter.com/chdkidaizy/status/1353972570111025152,"Totally!!
#FarmersProtest
#TractorsToDelhi
#RepublicDayforFarmers
#ScotlandKisanKeSaath twitter.com/GrootPandey/st…",2800068580,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,chdkidaizy,YD's & Gedi route,"Consultant Psychiatrist, Glasgow. MBBS MRCPsych .
Proud member  @scotind4justice
Vehemently oppose discrimination and will always stand up against injustice!",FALSE,954,"Scotland, United Kingdom",FALSE,https://twitter.com/chdkidaizy,1,
16,5048,https://twitter.com/RameshVaitla/status/1353955525285859328,Farmers on tractors at the Delhi  border on #RepublicDay2021. @RameshVaitla by . #TractorRally #Delhi #FarmersProtest #news #India https://t.co/Fu8NGojRBT,107957857,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1353955512585482245/pu/img/4mhEyirTa5hHByu9.jpg', 'variants': [{'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1353955512585482245/pu/vid/480x270/iX-vzmedWBtrrysf.mp4?tag=10', 'bitrate': 256000}, {'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1353955512585482245/pu/pl/bmNeawLsrGE9dWcE.m3u8?tag=10', 'bitrate': None}], 'duration': 12.042, 'type': 'video'}]",RameshVaitla,RameshVaitlaNTV #CrimeInside,Journalist : @NtvTelugulive Crime Bureau Incharge : 9490618068,FALSE,3352,"Hyderabad, India",FALSE,https://twitter.com/RameshVaitla,1,neutral
17,3288,https://twitter.com/AnjaliMody1/status/1354068813059264512,Thread .. ITO and on to Daryaganj #FarmersProtest twitter.com/kainisms/statu…,2711810160,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,AnjaliMody1,anjali mody,Journalist,FALSE,4468,,FALSE,https://twitter.com/AnjaliMody1,1,against
18,1194,https://twitter.com/indiapremi/status/1354133649134915586,"@ameytirodkar #ShaheenBagh was called organic protest, Dadi's protest, women were used as shield &amp; frontline by those (opposition with ISLAMIST gang) which lead to #DelhiRiots

#FarmersProtest is under the garb of Farmers, this time it is Khalistani &amp; ISLAMISTs (sponsored by opposition)",1354553737,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,indiapremi,Data Sci,Views Personal & RT's not endorsement LIKE only means read the tweet,FALSE,1427,USA,FALSE,https://twitter.com/indiapremi,1,against
19,7063,https://twitter.com/himanshu0070070/status/1353973901387247616,"@Subhangi_Joshi @AmitShah @PMOIndia I #Condemn #FarmersProstests #FarmersProtest which promised #Silent #March in #Delhi but are disobeying their own words and #Democracy which they themselves are using as #Sheild #Shelter to defend their #Right to live #Free

But limits crossed
Time to #Condemn #FakeFarmersProtest",3489436752,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,himanshu0070070,Himanshu N Kanani,,FALSE,1035,,FALSE,https://twitter.com/himanshu0070070,1,against
20,1054,https://twitter.com/sharmagandharvv/status/1354137075847622659,"A Delhi Police personnel attacked with a sword at Red Fort.
He is said to be critical and undergoing treatment.
Pic via:- @saurabh3vedi
.
.
.
.
.
#DelhiPolice #Delhi #RedFort
#KisanTractorRally #Farmers
#FarmersProstests #TractorRally
#TractorMarch #RepublicDay
#FarmersProtest https://t.co/ywhkwDB4DQ",4092164532,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[{'previewUrl': 'https://pbs.twimg.com/media/EsrcflpVEAEexaW?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EsrcflpVEAEexaW?format=jpg&name=large', 'type': 'photo'}]",sharmagandharvv,Gandharv Sharma,"🕉|
Journalist, Learner, Witty, Extrovert, Adventurous, Politics, Humorous, Old Soul, Foodie, Movie Buff, History Lover, Creative, Serial Chiller.
I Write!",FALSE,198,City of Joy & City of Rallies,FALSE,https://twitter.com/sharmagandharvv,1,neutral
21,221,https://twitter.com/IndiaToday/status/1353959733032574981,"Sea of tractors swarm Delhi, reach ITO. 
(@AishPaliwal, @Ankit_Tyagi01)
#FarmersProtest #TractorRally #FarmLaws https://t.co/NaVB6klios",19897138,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>","[{'thumbnailUrl': 'https://pbs.twimg.com/amplify_video_thumb/1353959595761225728/img/YMgOgL7oWVcLiv7q.jpg', 'variants': [{'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1353959595761225728/vid/480x270/_FU1fohnZiT5zGkd.mp4?tag=13', 'bitrate': 288000}, {'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1353959595761225728/pl/bv_KLLKevDt5UG2c.m3u8?tag=13', 'bitrate': None}, {'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1353959595761225728/vid/854x480/Y38e3OXms_ZBS_Za.mp4?tag=13', 'bitrate': 2176000}, {'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1353959595761225728/vid/640x360/B_M2IQTazxpLUdtl.mp4?tag=13', 'bitrate': 832000}], 'duration': 289.105, 'type': 'video'}]",IndiaToday,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/qf1v42FMpb",TRUE,5570393,India,FALSE,https://twitter.com/IndiaToday,1,neutral
22,1623,https://twitter.com/Jalal_Ishaq/status/1354119263485898754,#FarmersProtest Indian police getting a taste of their own medicine as farmers thrash police https://t.co/bB9b8oXh0I,358899907,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[{'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1354119091683008514/pu/img/cUmXiHfCU-hASKDc.jpg', 'variants': [{'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1354119091683008514/pu/vid/352x640/v3vMOJlsco6RqAGO.mp4?tag=10', 'bitrate': 832000}, {'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1354119091683008514/pu/pl/gShMO1YECmWBiwYx.m3u8?tag=10', 'bitrate': None}, {'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1354119091683008514/pu/vid/320x580/eVo2q7Uam6EGrmfz.mp4?tag=10', 'bitrate': 632000}], 'duration': 96.264, 'type': 'video'}]",Jalal_Ishaq,Muhammad Jalal Ishaq,Nothing is politically right which is morally wrong! An Electrical engineer,FALSE,4014,"Islamabad, Pakistan",FALSE,https://twitter.com/Jalal_Ishaq,1,for
23,3329,https://twitter.com/prakharpsy/status/1354026472361533441,"#JaiHind #KisanTractorRally #FarmersProtest 
Dont fall prey to the circus propagated by bhaand media .. twitter.com/Dilsedesh/stat…",3263017483,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,prakharpsy,Prakhar🇮🇳,"Embellishment  addict💪 PART TIME DREAMER🙏😎 ARDENT ADMIRER OF HRITHIK  SIR..💥
SSB RECOMMENDED CANDIDATE | 
SF MINDSET",FALSE,140,"Lucknow, India",FALSE,https://twitter.com/prakharpsy,1,
24,5487,https://twitter.com/prabhatkumar76/status/1354018150434529282,"Trusting Poisonous Heads Like @pbhushan1 is the biggest mistake if you want to find solution to any problem...This man and his friends are essential part of every problem India is facing...
#FarmersProtest twitter.com/LiveLawIndia/s…",359881545,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,prabhatkumar76,🇮🇳 Prabhat Yadav 🇮🇳,Evolving Hindu Who Believe in the Philosophy Of Nation First 🇮🇳,FALSE,2019,"Bengaluru,Bharat ",FALSE,https://twitter.com/prabhatkumar76,1,
25,412,https://twitter.com/gayatrisethi/status/1354185509195681800,@TwitterSupport reinstate these accounts &amp; stop #sikhcensorship #FarmersProtest https://t.co/r47u8KwrWr,20209770,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'previewUrl': 'https://pbs.twimg.com/media/EssIizQXMAAgG2J?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EssIizQXMAAgG2J?format=jpg&name=large', 'type': 'photo'}]",gayatrisethi,Gayatri Sethi (Desi Book Aunty),"(She/ her) #DesiBookAunty, PhD, Prof Educator, curator of desi books & writer. Unbelonging (Young Adult nonfiction) forthcoming 2021",FALSE,1711,Sacred lands of the Muscogee,FALSE,https://twitter.com/gayatrisethi,1,
26,4666,https://twitter.com/ItsTheSuraj/status/1354032083417452544,"#Rajdeep come on man !!! You can't be exposed so badly.

There's still few who believe you are a journalist 🙇

#FarmersProtest #Khalistani",1349388439,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,ItsTheSuraj,Suraj Kumar...✍️,Engineer 👷 || Blog 📚📖📝 || Travel 🌍 || #FitnessEnthusiast 🏋️||,FALSE,45,India,FALSE,https://twitter.com/ItsTheSuraj,1,
27,6047,https://twitter.com/swamiupendra/status/1354007601277595650,"Farmers Protest | Republic Day | Barricades breached at Akshardham | Pit... youtu.be/NloaNdbMOdY via @YouTube Protesting Farmers on Republic Day breach the police barricade at Ghazipur border and move towards the Nizamuddin Flyover. 
#Republicday #farmers #farmersprotest",69568842,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,swamiupendra,UPENDRA SWAMI,"Travel, travel and travel...is there anything else I love? https://t.co/YTXrXg1dS6
https://t.co/ipIO70n5gS",FALSE,1917,New Delhi,FALSE,https://twitter.com/swamiupendra,1,neutral
28,740,https://twitter.com/Bijoy_Munshi/status/1354152902722371584,"They asked a question on a huge Tuesday after repeatedly testing it several times in the past.
Will the State reply on The Wednesday?

#FarmersProtest",1191897528,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Bijoy_Munshi,Bijoy Munshi,"Kashmiri |
Author |
Techie |
Debut Novel - The Stranger's Bedroom


https://t.co/cvmPXHnKPJ",FALSE,157,"New Delhi, India",FALSE,https://twitter.com/Bijoy_Munshi,1,
29,1501,https://twitter.com/afshanadeeb/status/1354123685674823680,@AmanKayamHai_ET Public opinion?? Opinion of those who are sitting in their comfortable comforters and listening to #GodiMedia and its venom?? ANY SANE Indian will STAND WITH THE #FarmersProstests #FarmersProtest ! THEY R JUSTIFIED,288756255,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,afshanadeeb,Afshan Adeeb,,FALSE,154,,FALSE,https://twitter.com/afshanadeeb,1,for
30,4559,https://twitter.com/shubham_gadre/status/1354034595759439878,"Dont make mistake by looking at it as #FarmersProtest 
#India has rich culture of ""जय जवान, जय किसान""
This kind of #violence is done on the occasion of #RepublicDay clearly signifies that #FarmersProtest has already been taken over by anti-national elements many days back. twitter.com/ANI/status/135…",1533790171,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,shubham_gadre,CA Shubham Gadre 🇮🇳,"#BREAKING_VIEWS on politics!

Views are personal.",FALSE,408,"Pune, India",FALSE,https://twitter.com/shubham_gadre,1,against
31,7538,https://twitter.com/PahujaVansh/status/1353956781307777025,Sanyukta Kisan morcha is still on the route that is permitted by Delhi Police. Some other farmer organisations are on the different route. We should not sabotage the main idea behind protest. #FarmersProtest #26JanDelhiTractorParade,3244403258,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,PahujaVansh,Vansh Pahuja,"Student.
Politics | Football | Study| In that order.",FALSE,68,,FALSE,https://twitter.com/PahujaVansh,1,
32,5480,https://twitter.com/Sindhleak/status/1354009993754914816,"Entry/exit gates of Jama Masjid metro station are closed: Delhi Metro Rail Corporation (DMRC)
#FarmersProtest",2785063283,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Sindhleak,SindhLeaks |سنڌليڪس,"RTs are not endorsement 
Email.sindhleak@hotmail.com",FALSE,10749,,FALSE,https://twitter.com/Sindhleak,1,neutral
33,423,https://twitter.com/sikh_coalition/status/1354134762181554177,"""Last summer, Mr Modi enacted major farm laws that threaten the livelihoods of two-thirds of India’s 1.3 billion people without discussion, during the Covid lockdown of parliament."" #FarmersProtest",316671079,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,sikh_coalition,Sikh Coalition,The Sikh Coalition is a community-based organization that works towards the realization of civil and human rights for all people.,TRUE,32852,"New York, NY",FALSE,https://twitter.com/sikh_coalition,1,for
34,1667,https://twitter.com/Deepali_p/status/1354012243776610306,"#FarmersProtest #Update 
#GodiMedia will never tell you this ! 👇 twitter.com/saahilmenghani…",157959833,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Deepali_p,Deepali R Prabhu,"I will always be the CRAZY one who believes in MAGIC , MERMAIDS & IMPOSSIBLE DREAMS ! ❤😇",FALSE,3169,mumbai,FALSE,https://twitter.com/Deepali_p,1,for
35,5312,https://twitter.com/dipendra1988/status/1354022129663004673,"#दिल्ली_पुलिस_लठ_बजाओ 

We want revenge...... straight forward......

any political leader, traitor, News anchor, terrorist, religious leader opposing you.... fuck them publicly...

@AmitShah @HMOIndia 
#ShameOnTractorRally #FarmersProtest",269732446,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,dipendra1988,....🇮🇳,"""मुफ्तखोर""........ राज्य का निवासी
Still searching myself..... but Nation is First always................... 
#Faith_in_breaking_Status_quo",FALSE,65,India,FALSE,https://twitter.com/dipendra1988,1,
36,7327,https://twitter.com/AsrefAli/status/1353968729130897413,"No one can stop the farmers...

India never forget ADMK for their  betrayal to the farmers by supporting Farmer amendment Bill

#TractorsVsTraitors 
#KisanTractorRally 
#FarmersProtest 
#गणतंत्र_दिवस_किसान_विवश 
#FarmersProtests twitter.com/Senthilthanave…",3081852332,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,AsrefAli,Asref Ali,Lawyer | Coimbatore North District DMK Youth Wing Secretary | Love  MKS | Udhay,FALSE,981,Coimbatore ,FALSE,https://twitter.com/AsrefAli,1,for
37,954,https://twitter.com/mksw85official/status/1354081275267719171,"Thousands of Indian #Farmers protesting against #agricultural reforms breached barricades to enter the historic #RedFort complex in the #capital and #hoist flags after clashing with #Delhi #Police.

#KHALISTANIflag #Khalistan #flag #FarmersProstests #rights2021 #FarmersProtest https://t.co/9WXov3Max8",4581765448,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[{'previewUrl': 'https://pbs.twimg.com/media/EsqpvdkXUAcS0ku?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EsqpvdkXUAcS0ku?format=jpg&name=large', 'type': 'photo'}]",mksw85official,Mian Khurram Shahzad 🇵🇰,"Social Activist, Journalist, Cricketer, Blogger, Vlogger, Motorcycling & Travel 🌐 🇵🇰 0092-303-6982008",FALSE,1357,"Karachi, Pakistan🇵🇰",FALSE,https://twitter.com/mksw85official,1,neutral
38,6410,https://twitter.com/JagranEnglish/status/1353971021779353600,"#VIDEO | A Delhi Police personnel rescued by protesters as one section of protesters attempted to assault him at ITO in central Delhi 

ANI 

For more updates, follow: bit.ly/3ccULtA

#KisanTractorRally #FarmersProtest https://t.co/5XXa1vaZWi",231692806,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1353970965504434176/pu/img/fR76Xo7iJYT_pk_r.jpg', 'variants': [{'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1353970965504434176/pu/vid/640x360/sRkjxIkli0UdLVA8.mp4?tag=10', 'bitrate': 832000}, {'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1353970965504434176/pu/vid/480x270/cGoDApnIvQz5d4dm.mp4?tag=10', 'bitrate': 256000}, {'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1353970965504434176/pu/vid/1280x720/zjZInveF_7yzc_iU.mp4?tag=10', 'bitrate': 2176000}, {'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1353970965504434176/pu/pl/b3Dy1zAuRro2xjAo.m3u8?tag=10', 'bitrate': None}], 'duration': 36.159, 'type': 'video'}]",JagranEnglish,Jagran English,Jagran English the new age Trending News site. Check out https://t.co/UuzBHS8KDs for all latest & top trends across globe.,TRUE,8814,"New Delhi, India",FALSE,https://twitter.com/JagranEnglish,1,neutral
